Day fraction since midnight on 	pH probe (pH)
0.611744084	6.629131794
0.611755663	6.610014439
0.611767217	6.591506958
0.611778795	6.587023258
0.611790365	6.656600952
0.611801946	6.607758999
0.61181353	6.597721577
0.611825107	6.575674057
0.61183668	6.614483833
0.611848236	6.593830109
0.611859839	6.633049488
0.611871391	6.569756508
0.611882966	6.640814781
0.611894541	6.594399929
0.611906108	6.650613308
0.611917684	6.60791254
0.611929256	6.626768112
0.611940832	6.611326218
0.611952401	6.634921074
0.611963979	6.607039452
0.611975557	6.624433041
0.611987125	6.616400242
0.611998715	6.638940811
0.612010279	6.602519989
0.612021858	6.608138084
0.61203343	6.610701084
0.612045003	6.621209145
0.612056578	6.641541004
0.612068155	6.637166023
0.612079724	6.643762112
0.6120913	6.641164303
0.612102894	6.662214756
0.612114442	6.647311211
0.612126013	6.632750511
0.612137589	6.59500742
0.612149163	6.618250847
0.612160756	6.5853405
0.612172322	6.595865727
0.612183892	6.560423374
0.612195479	6.605923653
0.612207048	6.585170269
0.612218625	6.616396427
0.61223018	6.567999363
0.612241754	6.620377541
0.612253331	6.612187862
0.612264923	6.631244659
0.612276493	6.591293335
0.612288076	6.606431484
0.612299645	6.573419571
0.612311212	6.598533154
0.612322779	6.547639847
0.612334362	6.582030773
0.612345929	6.577521324
0.612357496	6.599820614
0.612369086	6.568417072
0.612380651	6.586298466
0.612392222	6.605167389
0.612403797	6.595615387
0.612415365	6.597367764
0.612426959	6.595583439
0.612438526	6.599342346
0.612450095	6.593166351
0.612461671	6.580807686
0.612473248	6.574131012
0.612484818	6.606381416
0.612496387	6.567726612
0.612507959	6.566509724
0.612519552	6.519498825
0.612531119	6.549361229
0.612542696	6.532807827
0.612554275	6.581229687
0.612565834	6.539579868
0.612577424	6.564471722
0.61258898	6.537578106
0.612600556	6.551239491
0.612612133	6.542265892
0.612623705	6.557484627
0.612635274	6.524394035
0.612646864	6.536739826
0.612658429	6.49023819
0.612669996	6.533922195
0.61268159	6.500195026
0.61269316	6.547327042
0.612704738	6.525579453
0.612716305	6.574185371
0.612727872	6.52355814
0.612739445	6.542894363
0.612751027	6.528975487
0.612762594	6.548553467
0.612774163	6.511745453
0.612785745	6.540187836
0.612797322	6.529759407
0.612808905	6.529441357
0.612820472	6.50233984
0.612832047	6.501169682
0.612843612	6.517103195
0.612855182	6.504117012
0.612866767	6.503679276
0.612878339	6.487832546
0.612889908	6.516049862
0.612901498	6.495227337
0.612913065	6.486693859
0.612924632	6.478419781
0.612936212	6.519877911
0.612947782	6.470633507
0.612959363	6.492355824
0.612970934	6.491521359
0.612982514	6.517493248
0.612994083	6.475055695
0.613005654	6.504869461
0.61301723	6.478169918
0.613028798	6.52712822
0.613040374	6.495846748
0.613051945	6.516052246
0.613063519	6.482631683
0.613075097	6.518917561
0.613086669	6.49077034
0.613098246	6.484148979
0.613109816	6.462765694
0.613121387	6.48920536
0.61313296	6.448564053
0.613144541	6.420587063
0.61315614	6.404421806
0.613167694	6.421342373
0.613179275	6.412586689
0.613190849	6.412406921
0.613202423	6.428030014
0.613213983	6.43988657
0.613225576	6.435738087
0.613237148	6.42771101
0.613248715	6.447025776
0.613260282	6.4435606
0.613271872	6.4515872
0.613283427	6.394648075
0.613295006	6.43038702
0.613306575	6.406625271
0.613318165	6.399816036
0.613329721	6.343039513
0.613341322	6.389763355
0.613352889	6.377483845
0.613364456	6.401082039
0.613376023	6.366613388
0.613387613	6.411747456
0.613399168	6.400595188
0.613410747	6.399496079
0.613422314	6.372196198
0.613433904	6.403814316
0.613445482	6.381457329
0.613457057	6.376207829
0.613468624	6.323889732
0.613480191	6.359606266
0.613491769	6.346943855
0.613503348	6.367272854
0.613514938	6.334729195
0.61352647	6.35768795
0.61353806	6.373362064
0.61354965	6.375874996
0.613561206	6.34865284
0.613572796	6.374176502
0.613584351	6.358311176
0.613595941	6.363332272
0.613607508	6.348765373
0.613619075	6.342746735
0.613630653	6.376753807
0.613642243	6.339037895
0.61365381	6.344156265
0.613665377	6.333068371
0.613676944	6.370659828
0.613688546	6.339328766
0.613700113	6.347332478
0.613711668	6.325387001
0.613723247	6.360221386
0.613734825	6.300699711
0.613746392	6.301126957
0.613757982	6.309707165
0.613769537	6.314768791
0.613781116	6.254797459
0.613792694	6.261466503
0.613804273	6.269974709
0.613815851	6.316364288
0.613827407	6.304347038
0.613838997	6.30926466
0.613850575	6.295892716
0.613862142	6.334934235
0.613873709	6.296578884
0.613885288	6.263638973
0.613896866	6.260451794
0.613908433	6.264492989
0.613920011	6.232002258
0.613931578	6.249844551
0.613943168	6.225649357
0.613954724	6.233743668
0.613966302	6.233086109
0.613977892	6.25581646
0.613989448	6.249310017
0.614001038	6.255664349
0.614012605	6.259055138
0.614024183	6.217374802
0.61403575	6.252902508
0.614047317	6.236535549
0.614058905	6.243774891
0.614070472	6.208241463
0.614082054	6.24665308
0.614093632	6.228572846
0.614105199	6.237184048
0.614116761	6.185499191
0.614128338	6.221532345
0.614139913	6.204114914
0.614151495	6.198000908
0.614163073	6.187226772
0.614174652	6.223776341
0.614186207	6.195759773
0.614197797	6.205031395
0.614209364	6.149962902
0.614220954	6.215661049
0.614232521	6.186997414
0.614244078	6.195842266
0.614255668	6.16327095
0.614267235	6.195491791
0.614278813	6.192421913
0.614290392	6.202661514
0.614301964	6.165709972
0.614313533	6.21365881
